"","gameId","blueWins","blueFirstBlood","blueKills","blueDeaths","blueAssists","blueDragons","blueHeralds","blueTowersDestroyed","blueTotalGold","blueAvgLevel","redAssists","redDragons","redHeralds","redTowersDestroyed","redTotalGold","redAvgLevel"
"1",4519157822,"0","1",9,6,11,"0","0",0,17210,6.6,8,"0","0",0,16567,6.8
"2",4523371949,"0","0",5,5,5,"0","0",0,14712,6.6,2,"1","1",1,17620,6.8
"3",4521474530,"0","0",7,11,4,"1","0",0,16113,6.4,14,"0","0",0,17285,6.8
"4",4524384067,"0","0",4,5,5,"0","1",0,15157,7,10,"0","0",0,16478,7
"5",4436033771,"0","0",6,6,6,"0","0",0,16400,7,7,"1","0",0,17404,7
"6",4475365709,"1","0",5,3,6,"1","0",0,15899,7,2,"0","0",0,15201,7
"7",4493010632,"1","1",7,6,7,"1","0",0,16874,6.8,9,"0","0",0,14463,6.4
"8",4496759358,"0","0",5,13,3,"0","0",0,15305,6.4,11,"1","0",0,17920,6.6
"9",4443048030,"0","0",7,7,8,"0","0",0,16401,7.2,5,"1","1",0,18380,7.2
"10",4509433346,"1","1",4,5,5,"1","0",0,15057,6.8,4,"0","0",0,16605,6.8
"11",4452162573,"0","1",4,4,6,"0","0",0,15474,6.6,5,"1","0",0,15143,7.2
"12",4453038156,"0","1",11,11,7,"0","1",0,16695,7,9,"0","0",0,18200,7
"13",4515594785,"1","1",7,1,11,"1","0",0,17865,7.4,1,"0","0",0,14591,6.8
"14",4524924257,"0","0",4,9,1,"0","1",0,14979,6.6,11,"0","0",0,18393,7.2
"15",4516505202,"1","1",4,4,4,"0","0",0,15722,6.8,3,"0","0",0,16192,7
"16",4482120064,"0","0",3,7,3,"0","0",0,15015,6.8,13,"0","0",0,17011,7.2
"17",4523758462,"1","1",10,2,8,"0","0",0,19733,7.6,2,"1","0",0,14505,6.8
"18",4503636905,"0","0",3,7,3,"0","1",0,14852,6.8,6,"0","0",0,16827,6.8
"19",4486384947,"1","1",5,4,11,"0","0",0,16282,6.8,3,"1","1",0,15400,6.6
"20",4457103291,"0","0",5,9,5,"0","0",0,14994,7,9,"0","0",0,18149,7.4
"21",4472164226,"1","1",11,6,15,"1","0",0,18606,7.2,4,"0","0",0,16080,7
"22",4445294621,"0","0",4,13,5,"0","0",0,15878,6.8,14,"1","0",0,18713,7.2
"23",4480384157,"0","0",4,6,3,"0","0",0,15773,7,10,"1","0",0,17027,7
"24",4520898233,"0","0",4,3,4,"1","1",0,15906,6.8,3,"0","0",0,15500,7
"25",4522124566,"1","0",6,9,10,"0","0",0,16515,6.8,13,"0","0",0,17535,6.6
"26",4523978853,"0","0",4,8,4,"0","0",0,15415,6.2,13,"1","0",0,17887,7
"27",4507834811,"1","0",8,6,9,"1","0",0,17178,7,3,"0","0",0,15918,6.8
"28",4501319968,"0","1",7,4,9,"0","0",0,17226,7,2,"1","0",0,15369,6.6
"29",4519148589,"0","1",8,6,13,"1","0",0,17474,6.8,11,"0","0",0,16154,6.8
"30",4484877784,"0","0",3,8,2,"1","0",0,14905,6.8,12,"0","0",0,18187,7.4
"31",4466931235,"1","1",9,4,10,"1","0",0,18132,7,2,"0","0",0,15249,6.2
"32",4524189570,"1","1",5,2,6,"1","1",0,16053,6.8,2,"0","0",0,14350,6.4
"33",4503380070,"0","0",6,4,7,"0","0",0,16438,6.8,4,"1","0",0,15830,6.8
"34",4497858921,"0","1",5,4,4,"0","0",0,15634,6.8,4,"1","0",0,15563,6.8
"35",4509242024,"1","0",6,4,4,"0","0",0,16085,7.4,5,"1","0",0,15810,7.2
"36",4524296550,"0","0",3,4,6,"0","0",0,14981,6.8,7,"1","1",0,15790,6.8
"37",4516034199,"0","0",2,8,2,"1","0",0,15421,7.2,5,"0","0",0,18192,7.4
"38",4504386463,"0","1",5,6,4,"0","1",0,15665,6.8,6,"1","0",0,17395,7
"39",4523799496,"0","0",7,9,5,"0","1",0,17528,7.2,9,"1","0",0,18432,7
"40",4379931850,"0","0",3,6,3,"0","1",0,15032,6.6,6,"1","0",0,16715,7
"41",4523858150,"0","0",4,11,3,"0","0",0,15483,6.8,16,"1","0",0,18508,7.2
"42",4459778854,"1","0",10,6,12,"0","0",0,19226,7.4,7,"0","0",0,16222,7
"43",4499523222,"1","0",9,6,14,"1","0",0,16945,6.8,6,"0","0",0,15371,6.8
"44",4477029310,"1","1",5,5,3,"0","0",0,15000,6.6,4,"0","0",0,16036,7
"45",4525037711,"0","1",3,4,2,"0","1",0,15888,7.4,2,"1","0",0,15872,7
"46",4459414345,"0","0",1,10,0,"0","0",0,12925,6.4,6,"0","1",1,19311,7.2
"47",4505664040,"1","1",11,2,9,"0","0",0,19250,7.6,2,"0","0",0,14154,6.4
"48",4439587692,"1","1",8,4,5,"1","0",1,18355,7,5,"0","0",0,15599,6.8
"49",4508000311,"1","0",2,3,2,"0","1",0,13978,6.6,1,"0","0",0,14955,6.8
"50",4513365614,"0","0",5,5,8,"0","0",0,15851,6.8,6,"0","0",0,16659,7.2
"51",4473252742,"0","0",7,9,5,"0","0",0,16474,6.6,13,"1","0",0,18033,6.8
"52",4438138890,"1","0",6,8,6,"0","0",0,16590,7,7,"0","0",0,16046,7
"53",4467008289,"1","1",5,2,2,"1","1",0,15737,7,1,"0","0",0,14356,7
"54",4492625917,"1","1",5,3,5,"0","0",0,16990,7.4,5,"1","0",0,14959,7
"55",4502901044,"0","0",3,3,2,"1","0",0,15297,7,1,"0","0",0,15166,7.2
"56",4467732013,"0","0",4,10,4,"0","1",0,15651,7,11,"1","0",0,18350,7.4
"57",4514402510,"0","1",5,7,7,"1","0",0,15587,6.8,6,"0","0",0,17259,7.4
"58",4521277262,"1","1",10,6,11,"1","0",0,17777,7.2,5,"0","0",0,16576,6.8
"59",4521752962,"1","1",7,5,5,"1","1",0,16426,7,4,"0","0",0,16534,6.8
"60",4514070165,"0","0",10,7,11,"0","0",1,20278,7.2,6,"1","0",0,15645,6.6
"61",4525056568,"0","0",2,7,0,"0","0",0,13791,6.6,4,"1","0",0,16053,6.8
"62",4521255103,"0","0",6,7,5,"0","0",0,16505,7,10,"1","0",0,16554,6.8
"63",4510728488,"1","1",6,4,4,"1","0",0,17277,7.2,5,"0","1",0,15590,7.2
"64",4516919746,"1","1",9,1,10,"1","1",0,18269,7.2,1,"0","0",0,14336,6.4
"65",4499868617,"0","0",4,10,3,"1","0",0,14166,6.6,6,"0","0",0,18227,7.4
"66",4514234813,"0","0",6,12,7,"0","0",0,15456,6.6,11,"0","1",1,20376,7.4
"67",4513591449,"0","0",4,5,2,"0","0",0,15180,7,1,"0","0",0,16885,7.2
"68",4471416203,"0","1",7,8,8,"1","0",0,16179,6.8,5,"0","1",0,16074,7
"69",4521227315,"1","0",3,5,3,"0","0",0,16026,7,6,"1","0",0,16580,6.8
"70",4424144387,"0","1",4,5,4,"0","0",0,14850,6.8,5,"1","0",0,15887,7
"71",4517806218,"0","1",9,8,7,"0","1",0,17347,7,11,"1","0",1,18491,7
"72",4479974478,"1","1",5,4,6,"0","0",0,15887,6.8,3,"1","0",0,14714,6.6
"73",4423018162,"0","1",8,2,11,"0","0",0,17399,7,2,"1","0",0,14205,6.6
"74",4518401885,"0","1",2,7,1,"1","0",0,13828,6.6,7,"0","0",0,16450,6.8
"75",4525208730,"1","1",6,4,4,"1","0",0,16645,7.2,3,"0","1",0,15494,7
"76",4512774492,"1","1",6,4,8,"1","1",0,16248,6.8,8,"0","0",0,14785,6.6
"77",4522772001,"0","0",4,6,1,"0","0",0,15310,7,5,"1","1",0,16348,7.2
"78",4464439713,"1","1",8,4,7,"0","1",0,16784,6.6,5,"0","0",0,15360,6.4
"79",4479823004,"1","0",13,9,18,"1","0",0,19032,7.4,5,"0","0",0,18505,7
"80",4507330276,"0","0",7,6,12,"0","0",0,17518,7.2,9,"1","1",0,15711,6.8
"81",4447392049,"0","1",11,4,12,"0","1",0,18976,7.4,6,"1","0",0,16120,7.2
"82",4521089901,"0","0",6,6,10,"1","0",0,16143,6.6,3,"0","1",0,17107,7
"83",4427944005,"0","0",7,8,6,"0","1",0,15868,7,6,"1","0",0,16046,6.8
"84",4509784380,"1","0",9,8,7,"1","0",0,17977,7,8,"0","0",0,17272,7
"85",4524411421,"1","0",10,10,14,"1","0",0,18138,7,16,"0","0",0,17230,7
"86",4519898107,"1","0",7,2,12,"1","1",0,18025,7.2,3,"0","0",0,14467,6.8
"87",4517633575,"0","0",1,6,0,"0","0",0,14625,6.8,3,"1","0",0,15924,7
"88",4521948875,"1","0",5,8,7,"1","0",0,15752,6.6,6,"0","0",0,17515,7.2
"89",4509102299,"1","0",10,4,12,"0","0",0,18480,7.4,4,"0","0",0,15933,6.6
"90",4525041896,"0","0",3,10,2,"1","0",0,14995,6.6,13,"0","1",0,18680,7.4
"91",4515706467,"0","1",7,11,3,"0","0",0,15655,6.4,7,"1","0",0,19344,7.2
"92",4476006621,"0","1",3,5,2,"0","0",0,15562,7.2,6,"1","1",0,16326,6.8
"93",4499940691,"1","1",9,2,5,"0","0",0,17139,7.2,2,"1","0",0,14102,6.6
"94",4426644547,"1","1",7,7,6,"0","0",1,19229,7.2,10,"1","0",0,15684,6.6
